month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,75.2784499552811,-0,5595.16915312055
2,29,8,38.26254029673,-0,5494.69028057815
3,1,7,-27.8243695090942,-0,5302.25843492561
3,2,23,0.174667102017892,-0,5479.22827781308
3,3,20,129.970505420434,-0,5241.71751704879
3,4,33,347.242755507408,-0,5916.84471949245
3,5,77,331.816935173576,-0,5807.26155533418
3,6,53,344.588176783781,-0,6004.86679796457
3,7,166,456.358383836647,-0,5914.06582867376
3,8,116,635.636908335688,-0,6194.71961777952
3,9,75,911.234901363971,-0,6238.71680350638
3,10,188,1236.96097891951,-0,6700.08432669736
3,11,368,1496.99275498338,-0,6774.57369313317
3,12,440,1803.38453648999,-0,7429.8182515312
3,13,633,2237.79955893632,-0,7782.17971847932
3,14,765,2906.12373072883,-0,8438.79510975223
3,15,244,3455.71765000796,-0,8994.45221096134
3,16,1458,4247.30426616193,-0,10051.9714921887
3,17,1842,5070.08820882232,-0,10343.4925438008
3,18,2661,5953.75168466322,364.747526474563,11446.1302350876
3,19,4495,6889.28798298167,1637.94996748728,12538.6860366286
3,20,6374,8131.65064062819,2699.42407043894,13910.2384359989
3,21,6009,9348.02765646961,4027.67805239875,15135.8179978216
3,22,8826,10626.4289296191,4930.02431063408,16157.1250166636
3,23,11238,11990.1627467086,6536.51296961691,17363.4841143771
3,24,10619,13570.1144081288,7923.21541252801,19461.4531560129
3,25,12082,15124.9120419839,9437.27117867187,20585.9836935663
3,26,17856,16767.1707928093,11138.2957145903,22462.9409564759
3,27,18690,18323.5177976201,12507.4717148445,24016.371703441
3,28,19630,19965.9512962336,14212.6569553515,25636.1812289521
3,29,18899,21566.2756890878,16023.3265344842,27215.7140983377
3,30,22075,23095.7136343301,17356.5297899874,28838.5706302912
3,31,26314,24592.6231121319,18535.1867713265,30194.4976410018
4,1,32259,25871.3665727266,20169.3957139674,31679.9131189557
4,2,32232,27041.025450004,21084.3733094762,32931.9171709245
4,3,32295,27972.8536024617,22154.4160393795,33383.7117034525
4,4,32390,28976.6345161203,22958.9721229162,34776.0472573549
4,5,29877,29650.5778212534,23826.3678947319,35326.3330559145
4,6,31393,30166.8284151881,24215.2656291395,35645.7252038851
4,7,30769,30591.4885144513,24794.4701558377,36394.4367667586
