month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,1.74231357126339,-0,5739.13587404241
2,29,8,37.3424359313344,-0,5567.85109939664
3,1,7,-52.6180148794079,-0,5683.13158621887
3,2,23,37.0228585175932,-0,6114.29348754559
3,3,20,228.983919377699,-0,5670.0314193515
3,4,33,250.409397865556,-0,6115.85446761888
3,5,77,279.931184067474,-0,5996.8467883156
3,6,53,462.417642941557,-0,6342.46216583147
3,7,166,472.293544435071,-0,6204.17268507071
3,8,116,689.849556604306,-0,6702.5213456989
3,9,75,963.071059215516,-0,6709.93828973171
3,10,188,1117.46197694217,-0,6652.7978418592
3,11,368,1623.76090696649,-0,7229.08123821071
3,12,440,1979.1996941439,-0,7847.613174732
3,13,633,2373.28690940026,-0,8152.96456418794
3,14,765,2980.07643174355,-0,8824.21856684196
3,15,244,3669.77383378171,-0,9158.77758467393
3,16,1458,4400.27381642928,-0,10201.976956165
3,17,1842,5148.36262899136,-0,10905.1386461095
3,18,2661,6084.68724478204,218.834616869172,12079.9581089517
3,19,4495,7099.26438227147,1261.70392590781,13067.6097670857
3,20,6374,8301.99784549839,2517.99882651164,14009.6165209196
3,21,6009,9508.4327354931,3892.45606599089,15501.6563567884
3,22,8826,10781.2421673955,4792.27512441456,16598.435029755
3,23,11238,12114.986005324,6294.681055813,17955.7638957557
3,24,10619,13712.2196371068,7770.55612637575,19644.0872783935
3,25,12082,15258.6635085203,9242.42794892446,21169.8630863667
3,26,17856,16731.6274039172,10846.1956574689,22641.4517752259
3,27,18690,18373.1530288563,12266.3547118569,24364.642688036
3,28,19630,19918.3376331225,13881.4907200849,26051.4569603953
3,29,18899,21470.8809419206,15645.6515653108,27492.9394106286
3,30,22075,22871.8498535728,16993.9769322578,28914.9007059732
3,31,26314,24219.4713224783,17752.6559944565,29990.587554665
4,1,32259,25391.943529518,19584.0664894978,31690.5459710976
4,2,32232,26501.0618018704,20501.730329704,32359.9650465572
4,3,32295,27465.1560088321,21657.8174659748,33201.6409214754
4,4,32390,28181.5129229968,22440.3888511049,34199.9312702944
4,5,29877,28939.0765029774,23312.0409112857,34646.3325894192
4,6,31393,29473.2592805245,23742.302318212,35260.2477279221
4,7,30769,29988.1765250256,24213.1965420739,35808.4356355835
4,8,31215,30218.9282480189,24164.7973570094,36260.2604986055
4,9,35936,30629.2728958538,24810.2600077868,36608.8254268074
4,10,34414,30806.7574483556,24841.0413601447,36815.3563864523
4,11,29102,30969.8906002343,25032.4330177828,36921.1094631844
4,12,27257,31191.249785129,25192.6182172469,36992.7882264474
4,13,26940,31151.9273573969,25353.1893293137,37091.8066787175
4,14,28825,31305.2976163241,25385.8755386371,37170.8766571613
4,15,25406,31304.3020534825,25321.0159889228,37214.3778946833
4,16,30015,31272.8089476211,25406.1694265169,37274.2118329253
4,17,33030,31269.2566912752,25149.6431084485,37284.2272604533
4,18,27932,31200.4884240925,25239.4963176648,37001.2312729805
4,19,26096,30862.8189311595,25134.7279880889,36809.2174326811
4,20,29828,30645.2384031459,24940.9830551739,36469.3166340002
4,21,25917,30424.486837018,24529.5794072951,36422.1193003292
4,22,28859,30129.7984691588,24472.4461330592,36151.2047456219
4,23,33570,29746.3777650509,23970.1021289249,35728.5276345978
4,24,32327,29315.3251205076,23395.6547263667,35246.3647880133
4,25,30396,28765.263746576,22982.2304326388,34886.0447411892
4,26,26501,28528.3128557485,22361.6917107682,34896.2439945798
4,27,23703,28155.4298005795,22032.0796702224,34286.527619968
4,28,24577,27801.8684655336,21669.5092522382,34009.6043368369
4,29,26438,27523.312836308,21497.5866568022,33378.5190932726
4,30,29220,27198.2820934341,21104.5444089907,33054.6845709113
5,1,34926,26894.4886056225,20810.1956892705,33070.5065679244
5,2,27350,26678.7540132067,20733.8965025799,32618.0207516487
5,3,24297,26499.9249305408,20534.9277865581,32504.6146302896
5,4,24085,26272.0971597371,20203.7874997,32211.4021986818
5,5,24531,26062.8682280121,20061.519128963,32093.1358474755
5,6,24560,25942.3298925307,19755.8355760509,31974.8284994063
5,7,27411,25757.9515882237,19308.0851264939,31758.0316099672
5,8,26839,25358.9919080589,19362.048444791,31596.215338165
5,9,25136,25077.2673151935,18912.5104690338,31216.6464712126
5,10,18867,24901.9605623088,18585.9321755767,31041.020001046
5,11,19271,24563.2221871955,18288.6381269249,30822.6301896184
5,12,NaN,24157.0198203524,18012.6311866476,30515.5696128839
5,13,NaN,23954.7394930014,17341.5791779798,30259.6575058263
5,14,NaN,23464.8080518505,17004.3680682361,30031.8236090304
5,15,NaN,23234.5602747286,16622.0830685146,29763.7496519774
5,16,NaN,23013.6577199012,16311.1514886055,29259.3904609788
5,17,NaN,22705.4147791168,16074.0533398331,29047.4088246788
5,18,NaN,22463.0514730935,15904.5523580059,29003.477857013
5,19,NaN,22433.5102060839,16101.7314513013,28762.9066493217
5,20,NaN,22300.2854475661,15967.2663977271,28838.2012986168
5,21,NaN,22156.9318084233,15540.1721440291,28408.5773736532
5,22,NaN,22009.5810667703,15493.7610609154,28717.6492249745
5,23,NaN,21919.6676777004,15179.5639298792,28312.9164322011
5,24,NaN,21703.1674936862,15397.8309096044,28374.229809548
5,25,NaN,21599.6350425153,14803.338687812,28068.1001828522
5,26,NaN,21416.3297342843,14809.4434333946,28014.7341979297
5,27,NaN,21236.1168821382,14479.1979162982,27721.1496028729
5,28,NaN,20794.496175053,14402.9356448865,27588.8517692174
5,29,NaN,20496.4139216934,14122.0014907882,27242.1141337491
5,30,NaN,20195.2286611749,13612.2362205955,26804.7460930101
5,31,NaN,19862.2565412174,13318.378602817,26891.9544801762
6,1,NaN,19667.6042517008,13116.081193604,26533.7127521962
6,2,NaN,19447.4548426077,12901.5704691125,26061.1800220157
6,3,NaN,19304.9833726426,12609.6145138466,26268.0065363833
6,4,NaN,19109.5604019884,12622.7124517947,26136.42761712
6,5,NaN,18844.4781955909,12396.2980730921,26014.3120919175
6,6,NaN,18896.902033471,12153.8156755911,25894.8192990904
6,7,NaN,18915.2471158466,12215.3820078157,25821.6443903217
6,8,NaN,18766.342572346,12067.4899113482,26050.5007009257
6,9,NaN,18709.0429828669,11990.3106407051,25940.2490864591
6,10,NaN,18832.5296979268,12053.2498966531,25844.0396196092
