month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,4.39431814979288,-0,6351.18219607295
2,29,8,-62.2629114263958,-0,6147.70540451605
3,1,7,48.2502544566548,-0,6244.63492638798
3,2,23,151.932102819303,-0,6410.6836014023
3,3,20,251.14953014556,-0,6516.27164019164
3,4,33,286.311231971857,-0,6441.20653980675
3,5,77,424.724763795613,-0,6379.84897445089
3,6,53,658.900888394407,-0,6934.19465501433
3,7,166,831.015213773395,-0,6865.07524897615
3,8,116,1009.76504750655,-0,7295.07747962064
3,9,75,1191.68182612428,-0,7467.00771594196
3,10,188,1489.51662391275,-0,7674.82035249024
3,11,368,1987.28751301187,-0,8184.1674491651
3,12,440,2455.91491487133,-0,8725.27817369052
3,13,633,2918.4239089459,-0,9156.19819009267
3,14,765,3510.37755800494,-0,9640.28380629456
3,15,244,4114.83798489194,-0,10509.4461272542
3,16,1458,4900.43983968004,-0,11206.8302554912
3,17,1842,5815.48533774771,-0,12314.7986893185
3,18,2661,6632.08160337422,277.885779279728,13050.9246110885
3,19,4495,7675.38656328884,1140.74152121578,13999.0860306198
3,20,6374,8933.38890314802,2362.58511950484,15281.4557843374
3,21,6009,10147.9655264257,3684.69033797392,16505.5932198364
3,22,8826,11391.7141151992,4736.00286127965,17549.81065006
3,23,11238,12679.6466662063,5943.30055175218,19029.5660168906
3,24,10619,14118.4000713456,7514.25250012223,20542.4593863944
3,25,12082,15467.0737923875,9023.45870016953,21855.2605206403
3,26,17856,17057.6033952195,10651.8693150378,23477.1889332317
3,27,18690,18560.5930265058,12102.277821804,24958.2697588715
3,28,19630,19944.2253739086,13609.1289965974,26423.9788099265
3,29,18899,21479.826576436,14991.7319552644,27689.9457786753
3,30,22075,22868.4991030175,16664.4153218112,29305.5899948777
3,31,26314,24314.6050825027,17769.8419866297,30858.6889084109
4,1,32259,25581.2536517775,18996.2376489785,31934.2237411826
4,2,32232,26621.0347401695,20251.9915481619,33166.7932582778
4,3,32295,27717.334001343,21453.8009035369,34514.9142954769
4,4,32390,28595.6064450941,22451.5098885574,35436.0856135202
4,5,29877,29411.9906306567,23102.7550484818,36168.3262199146
4,6,31393,30122.4537908316,23690.0975675867,37160.1021616735
4,7,30769,30649.9982642937,24221.244411341,37599.2262477908
4,8,31215,31039.4240876316,24553.0834347211,38229.8364088028
4,9,35936,31379.3099054296,24794.5644337143,38376.2157237904
4,10,34414,31389.6092372769,25068.6309618495,38484.2470153327
4,11,29102,31477.8669237864,25123.3574620642,38555.2437131429
4,12,27257,31590.8163850604,25029.1348989491,38558.8115708719
4,13,26940,31323.6403492812,24988.7847991515,38065.8705786816
4,14,28825,31168.8933290824,24568.4074736753,37738.8769851917
4,15,25406,30880.7667109137,24344.8933150667,37481.9404146101
4,16,30015,30587.76296619,23989.6473523075,37219.4702040364
