month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,-18.5184007833927,-0,5385.15878573293
2,29,8,-59.0899477435322,-0,5322.20605580383
3,1,7,-100.139980722145,-0,5768.27095773249
3,2,23,-8.99953425966415,-0,5710.19194548882
3,3,20,252.238909033069,-0,5488.66091159408
3,4,33,199.281035977161,-0,5549.62360628543
3,5,77,316.07897730941,-0,5943.1019311249
3,6,53,469.828706520977,-0,6094.72142562281
3,7,166,614.050756320246,-0,6149.56060785972
3,8,116,720.873917995297,-0,6268.51261971959
3,9,75,1025.01964286581,-0,6472.67647021731
3,10,188,1381.40615597577,-0,6550.52732696722
3,11,368,1586.43208897491,-0,6767.51285670334
3,12,440,1923.13525518177,-0,7932.16626539347
3,13,633,2548.70896147398,-0,8039.6800737534
3,14,765,2949.99266412057,-0,8684.10623617961
3,15,244,3640.71714764386,-0,9206.69737500402
3,16,1458,4429.11821574601,-0,9776.45316375002
3,17,1842,5175.64140106262,-0,10735.9393189415
3,18,2661,6125.52726327972,493.749464801684,11706.1559598302
3,19,4495,7111.64600564108,1339.3266453925,12755.7043798742
3,20,6374,8235.62953281175,2935.15345712848,14209.7832623578
3,21,6009,9468.0828684475,3918.6451459252,15153.2291885448
3,22,8826,10838.2146306076,5239.455118594,16489.6758187112
3,23,11238,12201.1393428612,6741.29165267378,17974.3839082182
3,24,10619,13753.3839145294,8032.36438121343,19404.5197390808
3,25,12082,15278.3192050422,9757.89711452022,20815.1274546064
3,26,17856,16780.6869742665,11003.0164806997,22512.2067579787
3,27,18690,18468.6120120783,13032.4269625936,23907.1236041855
3,28,19630,20145.2917731787,14385.2302286955,25889.1971520024
3,29,18899,21704.9333610065,16281.8183406173,27365.88618382
3,30,22075,23211.1431317643,17195.514360503,28864.4493386111
3,31,26314,24685.6569393693,19000.1748080375,30367.5699487413
4,1,32259,26138.8751491966,20420.2738254805,32007.4409573328
4,2,32232,27300.1155163771,21418.7678483015,32922.1227758173
4,3,32295,28487.8942997613,22899.2491940039,33907.1295778243
4,4,32390,29373.1152303879,23568.5437696085,35056.868783364
4,5,29877,30107.5531189236,24263.3391471573,35480.7779791681
4,6,31393,30706.8294209956,24583.2956742623,36260.7620661021
4,7,30769,31099.3541547488,25337.5316262196,36751.462760381
4,8,31215,31238.1584037436,25354.4639497562,36842.2800512351
4,9,35936,31597.7158274408,26116.922457508,37095.3343274805
4,10,34414,31454.6272155235,25853.6922192646,37121.6374618903
4,11,29102,31324.0122390402,25482.430110849,36909.2971371843
4,12,27257,31236.0041435677,25909.3316085293,36805.5697226239
4,13,26940,30917.5384332499,25108.7266698909,36503.1370002089
4,14,28825,30675.2210869636,25142.6017565057,36368.6918338615
4,15,25406,30397.054195586,24584.1790735391,36099.7417247061
4,16,30015,30081.2942207027,24217.0280328298,35970.8382681558
4,17,33030,29802.5700871872,24245.8697262017,35785.7991390587
4,18,27932,29476.5133452848,23591.4966850045,35552.0860362775
4,19,26096,29124.6618795625,23105.3492291212,35458.8842953698
4,20,29828,28920.4309019987,23104.1804187775,35114.1348950839
4,21,25917,28713.327040327,22509.0152255198,35007.3084849804
4,22,28859,28761.7125914556,22830.4927511529,34469.1258205558
4,23,33570,28506.2341944329,22375.9951230098,34481.4696667239
4,24,32327,28352.4085763338,22499.7293657711,34120.1627987971
4,25,30396,28344.2858022871,22716.2223239367,34045.6307109844
4,26,26501,28253.4373897377,22778.183729859,34398.2438223738
4,27,23703,28193.2574591478,22482.3840594611,34011.7025031807
4,28,24577,28022.1757626505,21978.7175416588,33606.9889896918
4,29,26438,27876.7745349185,21864.3759465153,33570.3877677831
4,30,29220,27584.8957187807,21724.4612018975,33106.1439073838
5,1,34926,27415.2732933724,21610.9992315555,33058.6636646476
5,2,27350,27131.0376271071,21366.691590484,32898.2010397413
5,3,24297,26802.5735891791,21374.350105042,32551.8553677533
