month,day,data,median,LB,UB
8,30,1704,1704,1704,1704
9,6,1466,1442.53246954719,1345.92884669623,1535.89665688939
9,13,1133,1171.99849504619,1087.49172828503,1256.40092273504
9,20,928,918.851696339594,839.366369558415,1003.56941595586
9,27,688,705.990935234439,619.813664342944,787.699847745818
10,4,547,541.333927469086,456.623600351226,634.108976351816
10,11,461,436.710125020218,339.267614063453,549.873975743865
10,18,320,301.723939275218,219.723370702233,381.673448378084
10,25,267,227.025856711075,148.913008860214,304.87875420951
11,1,166,170.461179344898,93.6481176879414,248.795385496336
11,8,105,127.470901979023,48.3036227414011,204.624973282805
11,15,32,95.6092364430328,18.5630257082458,169.437498715581
11,22,10,70.8259472243861,-0,146.946547302598
11,29,10,52.7008784064822,-0,127.876378944892
12,6,10,38.0264880316202,-0,116.810290019452
12,13,10,29.4795886317832,-0,105.938357287663
12,20,10,22.2448179099314,-0,96.8344519224028
12,27,10,16.9340844430803,-0,93.6608930042979
1,3,10,13.5088492538932,-0,88.8929507367207
1,10,10,9.6458214364795,-0,84.414265672231
1,17,10,6.35389349534248,-0,80.0041283413874
1,24,10,5.1371372924104,-0,81.7929404067127
1,31,10,3.88505000437166,-0,77.9659410276306
2,7,10,3.07601377065494,-0,75.1961990793598
2,14,10,2.54905154072279,-0,76.7599907041181
2,21,10,1.94756159370364,-0,77.7950163753412
2,28,10,0.61921463007153,-0,74.236550835177
3,7,10,1.42026407295695,-0,74.9824570346012
3,14,10,1.09597411793946,-0,74.3831901246517
3,21,10,1.22862039032361,-0,74.3251540904895
3,28,10,0.362035052143673,-0,74.4738159360399
4,4,10,0.265775335759567,-0,75.2777477654242
4,11,10,0.0307691556182729,-0,72.9497372675801
4,18,10,-0.462843475423547,-0,73.7299039354916
4,25,10,-0.32183471892711,-0,75.3181988453539
5,2,10,0.0567108668010741,-0,73.5717288330636
5,9,10,0.447528865526056,-0,75.156041344916
5,16,10,-0.554462473239678,-0,75.1400959071528
5,23,10,-0.485094030441478,-0,71.7855640718422
5,30,10,-0.437565536111443,-0,74.146995974331
6,6,10,0.579066695378298,-0,73.7711700216155
6,13,10,0.0985298834465989,-0,74.2998406166465
