month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,78.5564253241541,-0,5276.62547318549
2,29,8,-18.1147344307817,-0,4956.04071677532
3,1,7,-3.22435960621391,-0,5193.58267371248
3,2,23,89.9635503524584,-0,5151.66408811015
3,3,20,147.3951459466,-0,5474.03511557422
3,4,33,164.396556164284,-0,5416.36613319864
3,5,77,286.9684362459,-0,5492.51490488991
3,6,53,324.04562397015,-0,5660.22495880367
3,7,166,431.974079911161,-0,5785.6866994064
3,8,116,559.901132465521,-0,5884.21306818676
3,9,75,825.579226629022,-0,5934.07731830692
3,10,188,1051.12764226428,-0,6361.21719665913
3,11,368,1295.27376177503,-0,6585.64411209034
3,12,440,1663.99067761653,-0,7024.36333723786
3,13,633,2105.71771236385,-0,7421.60098307953
3,14,765,2515.34734429266,-0,8021.079546459
3,15,244,3143.48880800796,-0,8632.39739807971
3,16,1458,3679.37096331575,-0,9249.75519542681
3,17,1842,4576.30856750536,-0,10168.9421651377
3,18,2661,5447.79816018111,28.475781513182,11087.4976397068
3,19,4495,6441.41175337527,1003.03392382365,12053.436400449
3,20,6374,7497.54395371566,2023.63076166428,13336.872762124
3,21,6009,8763.18978299682,3377.50010958749,14221.8476725642
3,22,8826,10001.2574745353,4610.20575802789,15739.9440194126
3,23,11238,11529.5689274008,6050.64978351752,17177.1869031876
3,24,10619,13032.7863795718,7589.06170557744,18806.3375109737
3,25,12082,14679.0001725377,9359.39751282323,20326.8738679933
3,26,17856,16419.5580415324,11217.837218995,21970.5224139359
3,27,18690,18250.6099255319,13096.8410874641,23749.273932458
3,28,19630,19999.374907856,14748.9218367777,25474.5752715979
3,29,18899,21919.1845818904,16805.7080368882,27300.7838360942
3,30,22075,23559.8681142018,18086.5777483447,28834.9917914949
3,31,26314,25362.8296950629,19858.9269662854,30641.9493437175
4,1,32259,26695.3274006442,21306.4953672893,32146.7801686886
4,2,32232,28108.3191460091,22394.5903567778,33565.3212578827
4,3,32295,29314.9425489828,23748.117096815,34756.5655785496
4,4,32390,30154.5118836453,24454.2097144131,35671.1174502978
4,5,29877,30993.9043976634,25353.7651018462,36336.3882421729
4,6,31393,31464.4494956704,25890.8520675293,36646.4080962418
4,7,30769,31690.7772195292,26229.9762442128,36830.4530493536
4,8,31215,31804.666032531,26375.0636442293,37001.9495148271
4,9,35936,31607.0946970794,26538.433556722,36700.2076813273
4,10,34414,31459.3004835867,26082.9792196864,36657.5567068996
4,11,29102,31085.9960414173,25922.2801236923,36236.1455686518
4,12,27257,30648.7540843811,25425.5793721829,36013.0171324272
4,13,26940,30181.6114115348,24986.4329236107,35689.9378293591
