month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,0.767260464218836,-0,6488.17619943778
2,29,8,50.8095422463145,-0,6348.73463557761
3,1,7,15.7064985900304,-0,6417.78396308095
3,2,23,163.985246863862,-0,6590.72802276409
3,3,20,125.988016888907,-0,6519.54829306008
3,4,33,337.605493715415,-0,6790.4892320617
3,5,77,510.246922947674,-0,6889.55445344802
3,6,53,560.639427411709,-0,7087.34946648528
3,7,166,785.706396716908,-0,7014.13772485288
3,8,116,1047.85341927047,-0,7553.05051645275
3,9,75,1265.70408238542,-0,7681.86541016693
3,10,188,1599.09954243105,-0,7973.25621928649
3,11,368,2044.9984557672,-0,8437.15422463213
3,12,440,2541.92768470694,-0,8959.69858843731
3,13,633,3029.2720957652,-0,9488.09584300822
3,14,765,3633.51681745339,-0,10303.5491958931
3,15,244,4283.39207452355,-0,11060.1342484125
3,16,1458,5002.90135909775,-0,11697.4515998987
3,17,1842,5884.61296132971,-0,12326.1944321107
3,18,2661,6825.48993803117,337.688522437954,13194.8735333737
3,19,4495,7930.71230925954,1364.23298939974,14722.648402794
3,20,6374,9065.19292814388,2258.88149488039,15654.6038479127
3,21,6009,10090.7796672166,3492.58569892576,16613.087085214
3,22,8826,11312.8452332021,4624.71087708437,18164.7077964403
3,23,11238,12694.5070801484,6020.07263269511,19354.5305994794
3,24,10619,14049.2237459187,7511.69490623548,20521.5137644781
3,25,12082,15546.3123798823,8761.85985280787,22280.5083594743
3,26,17856,16995.7991334671,10540.4054705469,23626.9206863004
3,27,18690,18599.0643178326,11922.3331754147,25105.4223508762
3,28,19630,20007.4884154203,13375.8431726419,26612.9429679088
3,29,18899,21477.6693301529,14916.308715273,27998.3285853688
3,30,22075,22907.6133081035,16254.4443009239,29526.3589049659
3,31,26314,24331.0908135335,17640.9856005288,30943.6708688149
4,1,32259,25481.0466478472,18769.6024066271,32196.099257491
4,2,32232,26708.0459235738,20148.764915152,33491.6500147898
4,3,32295,27743.6650998746,21110.066106781,34634.0027471929
4,4,32390,28689.0316976949,22113.2955962391,35505.9025827095
4,5,29877,29506.5140908334,22818.7274879627,36327.647579073
4,6,31393,30298.8845122173,23655.3326603887,37552.9159728611
4,7,30769,30739.806620709,23966.8206946599,37813.5277849855
4,8,31215,31148.522624971,24607.7313230527,38134.3606296642
4,9,35936,31381.1219836079,24709.5814222022,38556.9407260458
4,10,34414,31516.9663728298,24949.3257175115,38498.9338371871
4,11,29102,31596.0278987637,25008.5844589016,38659.1298895329
4,12,27257,31550.0761170713,24893.4183175277,38329.3662368953
4,13,26940,31426.7038989507,24617.6030999383,38296.1989099774
4,14,28825,31264.0281173822,24753.7232884059,37944.3389586989
4,15,25406,30870.6881917927,24223.5486897368,37634.414438448
4,16,30015,30628.3808855788,23647.0808893341,37295.7142889737
4,17,33030,30270.9338024263,23664.1106113016,36964.7304953369
4,18,27932,29841.6302334433,23000.2045061069,36487.0439369888
4,19,26096,29493.0614728958,22456.7497521888,36053.104314045
4,20,29828,29032.9953395779,22077.208646368,35517.6282493348
4,21,25917,28594.8308513365,21384.6480792539,35231.3548320379
4,22,28859,28325.2458238632,20834.0577473147,34978.0719144362
4,23,33570,27797.2221085732,20176.9765077383,34312.7288686516
4,24,32327,27405.8953119932,19681.0933810582,33998.2027101076
4,25,30396,26896.4394050582,19136.3148660412,33830.4132534196
4,26,26501,26387.0038691222,18529.0420506204,33531.5931767971
4,27,23703,25818.3922340823,17966.1249042114,33092.8501532906
4,28,24577,25452.8248685473,17304.0128216271,32801.1638202625
4,29,26438,24838.6997385234,16653.1576388499,32665.0011846816
4,30,29220,24296.4243526547,15777.5802049796,32324.4747821924
5,1,34926,23625.3129247663,14929.5996044725,32065.6221382468
5,2,27350,23053.1565175937,14115.3831088395,31727.5394994909
5,3,24297,22257.905836272,13316.8828554738,31315.1930040203
5,4,24085,21551.3565408204,12194.3650635447,31063.4605402283
