month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,60.3417511612399,-0,7105.59727714686
2,29,8,120.199186863558,-0,7073.19429588242
3,1,7,336.449929866934,-0,7704.0680989287
3,2,23,550.6231245621,-0,7713.00753872677
3,3,20,950.947333689929,-0,7766.74699078317
3,4,33,1287.57845680698,-0,8639.98660269594
3,5,77,1800.59888845691,-0,9071.90671320568
3,6,53,2413.02057917401,-0,9696.95889452558
3,7,166,3075.11293760539,-0,10661.6020186716
3,8,116,4126.33201019687,-0,11722.3691413159
3,9,75,5041.24270854419,-0,12546.4224182546
3,10,188,6155.58977400488,-0,13934.8174367717
3,11,368,7302.87729412695,-0,15407.0023690923
3,12,440,8573.93624129889,919.250376115862,16657.5281061484
3,13,633,9831.67860346306,1443.02957582189,18177.2231985242
3,14,765,11199.7946381665,2270.11810759033,20318.2073685368
3,15,244,12591.7025413432,3709.6411172834,22296.3095430635
3,16,1458,13899.8996182121,4549.02438443772,24046.3310240618
3,17,1842,15452.3992217817,5614.77855717941,26651.2884639673
3,18,2661,16743.4688678882,6483.43783501855,28615.5010449077
3,19,4495,17891.3558638274,7226.0577003911,31149.4153933026
3,20,6374,19310.527844308,7720.92211816025,33105.0126620007
3,21,6009,20370.9505203512,8773.3504471653,36302.1997908609
3,22,8826,21540.0887530106,9802.88260362013,39179.35986311
3,23,11238,22527.3924951778,10696.4791570574,41597.7516422417
3,24,10619,23527.7773422365,11689.8323152369,44459.9244866352
3,25,12082,24642.8928505223,12353.9867512727,46932.9004915559
3,26,17856,25520.0789404788,13462.7817115145,50043.0923636947
3,27,18690,26134.3582767445,13927.5677393331,52703.138158232
3,28,19630,26930.7438936508,15018.4682480712,55409.3648550389
3,29,18899,27589.7384814162,15800.9842969225,57937.3241192855
3,30,22075,28322.9061353312,16542.6020644472,60327.9051714753
3,31,26314,28815.9799515999,17536.5585094113,63619.3384583255
4,1,32259,29390.6395351392,18086.1908012458,64920.6172799086
4,2,32232,29845.4752649597,19024.3451296532,67010.7386395514
4,3,32295,30362.2146254914,19833.646606003,68589.8787082261
4,4,32390,30832.7352433804,20206.4861862063,70933.3009274241
