month,day,data,median,LB,UB
8,30,1704,1704,1704,1704
9,6,1466,1440.89072960071,1346.4076980235,1537.26436838735
9,13,1133,1173.94606175873,1088.00853542735,1259.40493502861
9,20,928,922.940548068298,843.622555603926,1007.64128989795
9,27,688,711.599108363037,629.863575818736,793.520244104275
10,4,547,544.767920357317,460.347539448456,625.839102498985
10,11,461,411.304844611284,329.585660912106,489.991545198823
10,18,320,308.900983407479,227.145040061277,386.379138174807
10,25,267,231.081697457608,153.3214811832,310.190964109635
11,1,166,174.664190782544,96.5274951951804,251.641140399681
11,8,105,132.24800284493,53.2079515778282,209.814147566204
11,15,32,99.3082900047207,23.3496077429127,174.827170165101
11,22,10,73.8864805829991,-0,149.741375225993
11,29,10,55.2966341015798,-0,131.734153509824
12,6,10,42.3186828509848,-0,118.045250268914
12,13,10,32.6946974684735,-0,107.720832649625
12,20,10,23.8040097628367,-0,98.515813836591
12,27,10,18.2137526918179,-0,94.9017519996109
1,3,10,14.2804233345858,-0,88.7095185603543
1,10,10,10.0922539336721,-0,84.2224637105805
1,17,10,6.71769676076445,-0,83.5365358660325
1,24,10,4.67315143682767,-0,82.9996888147796
1,31,10,4.89663292188582,-0,79.9322319193764
2,7,10,3.1635851163491,-0,77.1361876795213
2,14,10,2.13566114180488,-0,76.8737557976885
2,21,10,1.53103774137616,-0,77.9133164837885
2,28,10,0.307708371933545,-0,72.8439816085035
3,7,10,1.22672388968095,-0,74.1362577006317
3,14,10,0.588707480235406,-0,71.8246241884579
3,21,10,1.51655064206124,-0,75.9045435343261
3,28,10,0.0674788669576097,-0,74.22077988229
4,4,10,0.111873865407075,-0,75.1449911017289
4,11,10,0.790087262021847,-0,74.2930492395743
4,18,10,-0.823025710861465,-0,76.2036651923227
4,25,10,-1.0446567284941,-0,74.6938521904518
5,2,10,0.39288481451828,-0,73.4104592545399
5,9,10,0.445094762902066,-0,75.1803014710914
5,16,10,0.391660278192549,-0,77.5627657384497
5,23,10,-0.0046484694569966,-0,75.2518103079422
5,30,10,0.472788332934539,-0,74.7602825928372
6,6,10,1.63661630852257,-0,76.4419309344511
6,13,10,0.502464040463826,-0,77.6438638358605
