month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,18.8002329182012,-0,5031.98041789726
2,29,8,70.9862365435526,-0,5289.70313720003
3,1,7,127.357760164408,-0,5131.28630679383
3,2,23,127.634802742102,-0,5307.14620233073
3,3,20,101.998920111537,-0,5263.36841178153
3,4,33,154.541276924002,-0,5383.87696667382
3,5,77,255.815438248642,-0,5337.58499573784
3,6,53,348.083269786555,-0,5645.18600326232
3,7,166,488.174333885962,-0,5626.53585505237
3,8,116,615.134787101695,-0,5702.5604173302
3,9,75,895.128727513428,-0,5956.26419771956
3,10,188,1206.89107606609,-0,6441.47540101089
3,11,368,1392.13657279198,-0,6554.51570380712
3,12,440,1798.12289014579,-0,7002.62139413458
3,13,633,2308.71564156857,-0,7299.10960829739
3,14,765,2767.87554648218,-0,7975.20023520457
3,15,244,3267.05823550059,-0,8506.26034234399
3,16,1458,4094.67632427444,-0,9229.73779309238
3,17,1842,4818.6111364202,-0,10004.925957731
3,18,2661,5778.18887224138,568.269952246964,10914.9560278124
3,19,4495,6775.26872430747,1592.39011043621,12024.388417385
3,20,6374,7853.55880875216,2571.90429899804,12993.3007953839
3,21,6009,9051.20144270392,3765.09485332423,14199.2683361954
3,22,8826,10407.6352217277,5252.98181431046,15563.7554912735
3,23,11238,11866.0337181376,6582.33307809021,17143.2335273829
3,24,10619,13363.4020645434,8038.16455627128,18508.6503964042
3,25,12082,15062.4411104408,9721.91478695411,20429.638112539
3,26,17856,16622.1206720992,11417.9592161237,22039.1623300013
3,27,18690,18385.3329749941,13129.5325964405,23723.7252657365
3,28,19630,20050.3544801283,14713.3059116741,25211.0380900758
3,29,18899,21752.3738644558,16373.278556959,27071.6272005779
3,30,22075,23348.7747478433,18050.4548201782,28870.8684454455
3,31,26314,24954.9509608783,19581.0039481142,30125.0088993863
4,1,32259,26375.1999293998,21032.5560385116,31591.0173272537
4,2,32232,27542.1749326374,22375.3633712027,32939.151560622
4,3,32295,28754.4013528764,23479.0914209798,34026.9352386475
4,4,32390,29771.3711327871,24337.4505488129,34930.3653256088
4,5,29877,30438.0406804423,25241.4937949724,35634.869697396
4,6,31393,31009.8932821095,25429.2667005734,36133.2491719678
4,7,30769,31309.2724499049,26074.3105539809,36578.616600806
4,8,31215,31434.5776315318,26434.3900358948,36744.938175776
4,9,35936,31364.4404942727,26006.9137049674,36702.5389918369
4,10,34414,31305.1149024535,26094.6084553203,36524.3212976193
4,11,29102,30984.0612484195,25773.3767642033,36323.5956046623
4,12,27257,30765.3945485397,25531.7503517738,35807.9458650273
4,13,26940,30304.7748501075,24919.0801492654,35677.8743168959
4,14,28825,29874.6196566846,24714.2934737251,35114.9241211922
4,15,25406,29601.8108261843,24186.0279375559,34930.722656036
4,16,30015,29263.9933845878,23894.4073307695,34543.7619991836
4,17,33030,28895.3078102286,23768.6739182425,34250.9442089203
4,18,27932,28738.6528008733,23471.1017563108,33957.4025433702
4,19,26096,28629.7919610263,23517.908626332,33836.8553195
4,20,29828,28628.6226225169,23242.3575815882,33903.4028837845
4,21,25917,28662.6186522223,23280.5139495113,33992.3873463196
4,22,28859,28707.3742443567,23372.9563020204,33932.89066293
4,23,33570,28760.7367640713,23556.9313237736,34035.1391703915
4,24,32327,28954.9770864708,23606.1238486092,34254.8070275763
4,25,30396,29059.7202875597,23688.09299739,34181.8449439031
4,26,26501,29124.2431478985,23768.3286743468,34544.3045013789
4,27,23703,29106.5831544657,23838.6559896404,34244.1680263514
4,28,24577,28955.3691021011,23844.515298447,34190.0712790969
4,29,26438,28795.6199268231,23346.9381006738,34133.5652538988
4,30,29220,28501.1329569836,23403.7688596596,33580.7924507534
5,1,34926,28092.1719795406,22778.1510169171,33478.2522867867
5,2,27350,27496.9776780047,22351.8484064803,32756.2207683131
5,3,24297,26897.5029838867,21737.0507910687,32221.131929225
5,4,24085,26159.5484570591,20833.0290235782,31487.3409373281
5,5,24531,25474.534159797,20067.1276822535,30727.981083077
5,6,24560,24617.2901344034,19408.3918743268,29993.6318584803
5,7,27411,23789.697246741,18456.5945840123,29223.4181762944
5,8,26839,23090.1020262353,17786.9559560662,28445.5630443065
5,9,25136,22412.7630914406,17063.4560549863,27793.0932630487
5,10,18867,21722.8366397781,16406.771565396,27225.5776564208
5,11,19271,21287.377717649,15868.8010609627,26724.7532487719
5,12,22948,20768.4993883718,15221.7938854783,26332.6449331566
5,13,20408,20510.3158669646,14938.067010188,26195.9701805241
5,14,26818,20282.8793067564,14583.6574343945,25704.6041253266
5,15,24747,20240.7943943425,14486.7605484564,25826.9402228019
5,16,24159,20334.3400314498,14557.8828644092,25925.7245610347
5,17,18363,20511.3487869506,14761.9168089721,26170.2704470049
5,18,22390,20711.4692274491,14835.4579673294,26266.0020828458
5,19,21007,20816.9275673984,14897.051263457,26389.7164861511
5,20,22697,21193.9315619289,15194.9482176094,26879.0897109539
5,21,25766,21518.3227604648,15764.137625205,27057.1810866598
5,22,23657,21720.8955684833,16208.7031487152,27300.8067185379
5,23,21111,21808.04308597,16212.6261078737,27302.2385826698
5,24,20067,21941.0746073847,16637.5319514602,27172.7907653462
5,25,18673,21997.3466735591,16373.6114388844,27057.4535868443
5,26,19650,21702.2832044186,16229.4602515892,27031.3535903114
5,27,18549,21457.8248502906,16053.8663816045,26794.9046672754
5,28,22322,21146.8304770039,15684.9926996584,26521.5547398269
5,29,24473,20668.851465399,15187.7089982435,26123.9626082247
5,30,23633,20127.4167267052,14806.4531777254,25808.3137977238
5,31,18987,19539.9706076053,13893.3683625899,25131.3807346559
6,1,17436,18864.0671576701,13337.2238032839,24601.3150701958
6,2,21502,18309.6439781,12780.1540409328,24087.6370147378
6,3,19855,17670.3917054163,12180.1857101911,23376.5921787472
6,4,21639,17055.209960197,11278.8023434283,22990.1646641861
6,5,25400,16582.6191386108,10971.6678173426,22343.6025824768
6,6,21160,16101.4264062568,10703.524751849,21934.0971427429
6,7,17916,15771.606586089,10236.3477198646,21558.1906707359
6,8,17637,15682.8985413467,10149.289555715,21058.2478200888
6,9,18384,15471.5114038104,9868.73911828821,20858.9553479807
6,10,21110,15472.4947938836,10039.0592619139,20863.5017735223
