month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,-0.0254789566691729,-0,5447.31943408093
2,29,8,15.0852679545203,-0,5315.36406599583
3,1,7,97.7374609123573,-0,5668.88738700971
3,2,23,40.9405269344412,-0,5174.09993995936
3,3,20,13.9706715493631,-0,5539.54489828066
3,4,33,236.031818792291,-0,5844.26509403851
3,5,77,394.032494704482,-0,5665.7297580037
3,6,53,432.099141099784,-0,5689.79628502467
3,7,166,722.756577788042,-0,6179.53120861643
3,8,116,775.349395332185,-0,6250.00865986211
3,9,75,994.557665236622,-0,6366.53426256606
3,10,188,1367.91246494232,-0,6920.20543979512
3,11,368,1779.24140302863,-0,6892.2745963185
3,12,440,2122.17922826636,-0,7862.91060667936
3,13,633,2588.89987203906,-0,8102.31053524108
3,14,765,3204.22824103512,-0,8923.87979521802
3,15,244,3861.71277916107,-0,9433.61490853908
3,16,1458,4720.12919455081,-0,9944.05787125593
3,17,1842,5479.31869882622,-0,11060.4715988135
3,18,2661,6371.73247218743,1006.69481871594,11949.6749277304
3,19,4495,7337.97651294607,1804.8790513963,12761.098297279
3,20,6374,8644.32528568865,2969.22238722813,14232.7774444021
3,21,6009,9733.6340448732,4207.1689512423,15362.7394943473
3,22,8826,11181.0199120401,5634.5521952786,16443.9372195795
3,23,11238,12635.1637651495,6598.78060410574,18065.5532531319
3,24,10619,14139.1458960481,8297.53481442511,19620.4966419167
3,25,12082,15529.0806016676,10284.2236562414,21353.581321292
3,26,17856,17043.0019340022,11642.0311817548,22636.7230806938
3,27,18690,18739.6130873689,13062.8334922486,24216.3050281424
3,28,19630,20320.7712504096,14577.1948683555,25714.8328051767
3,29,18899,21833.0753990943,16313.7905788395,27476.8800424067
3,30,22075,23354.1939900134,17676.6817630447,28734.910913885
3,31,26314,24821.0633897366,18592.2554462027,30303.2519489103
4,1,32259,26223.8554232758,20771.0881568454,31898.981651558
4,2,32232,27370.7675912909,22257.562200207,33068.0342694242
4,3,32295,28612.5996401672,22890.0869242386,33969.2068316232
4,4,32390,29636.290682786,23790.0461664028,35068.1866199467
4,5,29877,30241.0929854578,25007.1215257185,35688.0330641232
4,6,31393,30913.1180116308,25229.8609491911,36525.6840258459
4,7,30769,31235.8877850837,25813.7833152107,36822.5363506653
4,8,31215,31502.4545182346,26189.4396848223,37162.2623651677
4,9,35936,31485.698242082,26072.3631827128,37363.8295129554
4,10,34414,31477.9192897698,25947.579798238,37410.5846942615
4,11,29102,31642.9514716155,26206.9339834849,36928.0059678321
4,12,27257,31190.8986124714,25557.0498607405,37015.1277191877
4,13,26940,30727.1794964038,25531.2203015313,36316.9903865126
4,14,28825,30536.5064039049,24848.1777041001,36087.2146804241
4,15,25406,30019.0702199939,24439.0039622126,35613.8161010308
4,16,30015,29605.5525088833,24112.4790120328,35288.525541797
4,17,33030,29326.0227864084,23692.579915296,35031.3120165689
4,18,27932,29022.5734874497,23445.4042981745,34735.7461101226
4,19,26096,28674.3597332101,22783.9084992939,34185.7425623367
4,20,29828,28484.1616269787,22832.5366621921,34026.3837184473
4,21,25917,28279.246813756,22836.6318189298,33869.1354862236
4,22,28859,28188.1382615008,22834.7439635192,34032.0530880666
4,23,33570,28044.4199442454,22615.1708415723,33910.3412462013
4,24,32327,28096.4605545017,22654.2446638392,33599.6423822675
4,25,30396,27963.0744393369,22443.0184807686,33849.385309748
4,26,26501,28294.2364181301,22517.7951201046,33487.0545578121
4,27,23703,28164.678216956,22717.3117277384,34211.5832605526
4,28,24577,28181.3366883966,22684.0088060701,33860.6955382024
4,29,26438,27989.5620821464,22412.1918540147,33586.0553809083
4,30,29220,27853.8622705251,22441.8930887346,33072.8266211886
5,1,34926,27592.3903392855,22028.0222990627,33572.1202365331
5,2,27350,27409.7161795602,21822.9426425315,32981.0135729429
5,3,24297,26931.3198042613,21210.7774155034,32704.5034900662
5,4,24085,26578.579780657,21181.1781289151,32216.6483350499
5,5,24531,25843.3981502859,20182.4743373641,31580.0996516422
5,6,24560,25228.7244274185,19387.6013405144,30910.713663481
5,7,27411,24647.916727733,18937.8692829414,30345.9651120536
5,8,26839,23733.0226249257,17820.1080000485,29175.523266141
5,9,25136,22962.7174171045,17247.180102423,28542.470941196
5,10,18867,22093.4687334411,16528.9128534764,27757.0783454457
5,11,19271,21363.8635368745,15628.1878197639,27112.7652982966
5,12,NaN,20699.6213776328,15030.8307742325,26437.2619785505
5,13,NaN,20230.8048560687,14668.8475188798,25822.9647797769
5,14,NaN,19441.0752664077,13672.9715799528,25234.0635562737
5,15,NaN,18965.8011341093,13237.4347641315,24540.6312949579
5,16,NaN,18471.9910030422,12765.9895220567,24255.2986816457
5,17,NaN,18414.7371109982,12675.58931943,24113.5773123531
5,18,NaN,17958.7966349551,12100.6719091449,23746.8201565283
5,19,NaN,18059.5242717779,12213.8989883492,23977.2694399231
5,20,NaN,17992.0737523358,12270.2371334435,23962.93056888
5,21,NaN,18144.2546664337,12291.6642523614,23956.017378189
5,22,NaN,18209.4355890661,12229.5989799798,23868.2483515978
5,23,NaN,18517.7441315415,12929.5253416779,24261.9439691908
5,24,NaN,18689.1836292118,12541.6153716049,24882.9047415079
5,25,NaN,18962.9355783235,12862.0113505404,24885.9063883162
5,26,NaN,19169.6791556825,13397.3723360243,24998.6191215813
5,27,NaN,19370.8127635144,13493.6138059978,25148.1623038838
5,28,NaN,19451.4139108404,13334.8386486264,25221.8481273758
5,29,NaN,19356.6497076541,13395.7315542506,24953.6050473309
5,30,NaN,19164.494341242,13304.2755081218,24897.0763818133
5,31,NaN,18966.8924278251,13261.6819951612,24864.5130863976
6,1,NaN,18612.6122480541,12225.2394726031,24724.3519136638
6,2,NaN,18131.5772402115,12004.0326109757,24207.3582119603
6,3,NaN,17746.681605888,11289.316285044,23798.0559327828
6,4,NaN,17312.0697914632,10850.7171826624,23210.6689514217
6,5,NaN,16765.6305093887,10201.7277064219,22864.8886911948
6,6,NaN,16229.4182440094,9568.64418356461,21916.3785052761
6,7,NaN,15527.7986684791,9232.60523375229,21602.0082513143
6,8,NaN,15010.9816006606,8812.57082502344,21057.6036278253
6,9,NaN,14312.3855552199,7986.37646334698,20346.8711888963
6,10,NaN,13963.2635336547,7705.48363195304,20012.6290189609
