month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,100.017969143283,-0,6004.12026646304
2,29,8,-1.75698983221004,-0,5998.66645744274
3,1,7,87.2009506593263,-0,6011.40489552159
3,2,23,182.122304270981,-0,6103.61555477929
3,3,20,205.048690012324,-0,6069.48942092267
3,4,33,284.956396275159,-0,6295.87891146761
3,5,77,478.249182415242,-0,6267.60936031726
3,6,53,596.451846521161,-0,6603.05062838656
3,7,166,938.873445423085,-0,6715.21653939117
3,8,116,1073.17800008026,-0,6883.36245095404
3,9,75,1307.92608294213,-0,7098.17878050866
3,10,188,1770.82094623413,-0,7683.25257927094
3,11,368,2185.84080724092,-0,8104.70388186574
3,12,440,2718.80821743168,-0,8656.14682760473
3,13,633,3136.63236985512,-0,9130.26559024951
3,14,765,3829.89998235468,-0,9595.47020826669
3,15,244,4471.29940628156,-0,10391.3438413277
3,16,1458,5292.0111994294,-0,11140.6189818856
3,17,1842,6172.79524358909,296.023018613278,12172.6016204227
3,18,2661,7064.41777440705,773.633388776091,12981.0555260711
3,19,4495,8170.60096148357,2140.2470409717,14086.8237704645
3,20,6374,9254.03471786087,3341.4240243311,15356.2472388382
3,21,6009,10448.6785861705,4339.10872773027,16369.4382586556
3,22,8826,11655.2721456979,5754.4089387108,17602.819162366
3,23,11238,12948.6478672281,7033.07255976104,19108.4143320828
3,24,10619,14293.2035207463,8224.21577961485,20334.9271112154
3,25,12082,15729.167635888,9751.13497694539,21682.1631754378
3,26,17856,17099.9515077038,11303.244193419,23141.5968842302
3,27,18690,18705.9377119527,12806.8659764743,24585.259091176
3,28,19630,20022.2180753013,14082.8336074488,26083.268820157
3,29,18899,21545.7953578477,15380.7910060262,27497.9866089104
3,30,22075,22812.4080174519,16880.6657612063,28860.2244314163
3,31,26314,24099.842053184,18151.4506695531,30119.0142777791
4,1,32259,25400.6863422982,19288.7037732257,31206.9877120513
4,2,32232,26487.2244790768,20497.3471828702,32513.2901612894
4,3,32295,27430.9289126037,21353.4902778591,33329.7113664869
4,4,32390,28358.7159081888,22368.0077677391,34510.2153999977
4,5,29877,29163.9699938573,23163.1846641564,34954.0691628545
4,6,31393,29663.8779553864,23585.584614245,35688.3555026789
4,7,30769,30263.7331134541,24234.4738215107,36231.932548934
4,8,31215,30631.3675062658,24413.0060416876,36645.7088747035
4,9,35936,31004.9861695111,24762.3110460693,36900.2163382662
4,10,34414,31039.484240928,24954.3190829501,36794.1429944778
4,11,29102,31015.9954790597,25057.8948229426,37035.9330508998
4,12,27257,30960.4402309014,24871.1384799684,37118.6929466557
4,13,26940,30849.4341548468,24917.0135018498,36769.7778817307
4,14,28825,30651.546729882,24664.4527327009,36544.2239299435
4,15,25406,30352.8698729228,24267.0241148878,36521.1949057993
4,16,30015,30019.2289944439,23970.6079055364,35895.5368104053
4,17,33030,29850.7688476857,23767.4988738195,35853.4592482453
4,18,27932,29445.5745649262,23427.4199782808,35403.6764441923
4,19,26096,29096.9670156778,23091.1835383209,35134.077848127
4,20,29828,28900.297791486,22989.2734432637,34931.0353459566
4,21,25917,28715.8849019072,22600.8907577659,34880.1827562924
4,22,28859,28578.8008462185,22121.5462918973,34620.7711611461
4,23,33570,28356.6954805428,22049.5154806459,34343.4705476667
4,24,32327,28143.6504839674,21874.3147402069,34310.513773826
4,25,30396,27946.5875605618,21473.4017098112,34025.0340890291
4,26,26501,27881.9500148513,21375.6915499855,34159.6667020461
4,27,23703,27747.6990836134,21186.4264048068,33945.3839225471
4,28,24577,27686.939403031,21118.6902728409,33833.600504656
4,29,26438,27529.8068107087,20935.0064699548,33635.6407889021
4,30,29220,27196.6615644888,20314.6290176318,33527.0930933788
5,1,34926,26898.4477916354,20183.6759758428,33042.1801287103
5,2,27350,26630.7799610268,19665.4241677142,33094.7925707445
5,3,24297,26086.4573331822,19123.5269394588,32466.3102516343
5,4,24085,25653.2718079212,18555.2198004189,32044.9185487418
5,5,24531,25210.4463804433,17393.5117383068,31577.4356812142
